dummy;counter_type;hadoop_job_id;counter_name;start_time;counter_group;counter_desc;counter_val;hadoop_task_id;general_info;hdfsPath;hadoopLogPath
junk;MAP_TASK;job_201407220146_0010;MAP_OUTPUT_BYTES;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Map output bytes;2216;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;SPLIT_RAW_BYTES;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Input split bytes;111;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;COMBINE_INPUT_RECORDS;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Combine input records;0;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;COMBINE_OUTPUT_RECORDS;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Combine output records;0;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;SPILLED_RECORDS;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Spilled Records;173;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;CPU_MILLISECONDS;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;CPU time spent (ms);8890;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;PHYSICAL_MEMORY_BYTES;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Physical memory (bytes) snapshot;299319296;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;VIRTUAL_MEMORY_BYTES;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Virtual memory (bytes) snapshot;1012142080;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;COMMITTED_HEAP_BYTES;1406024993146;org.apache.hadoop.mapreduce.TaskCounter;Total committed heap usage (bytes);199950336;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;BYTES_READ;1406024993146;org.apache.hadoop.mapreduce.lib.input.FileInputFormatCounter;BYTES_READ;863;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;;;;;;;Info:JobId=job_201407220146_0010;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;;;;;;;Info:TaskCurrentStatus=COMPLETE;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;;;;;;;Info:TaskFinishTime=1406025009816;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;;;;;;;Info:TaskId=task_201407220146_0010_m_000000;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
